plateifu    z
7965-1902    0.027190977031402965
8322-1901    0.023458582504027683
8555-3701    0.04650603832955401
10843-1901   0.03322803921514881
10844-1902   0.04700500550880264
10507-1901   0.025799608213417966
8996-3704    0.04931214987692619
7961-1901    0.029870995054927525
10838-1902   0.03858788035124397
9494-3701    0.01549304956656404
10220-3703   0.03850004737263335
8152-3703    0.028105892728114316
8453-3704    0.030345613978674184
