observed-wave[AA],flux[10^-16 erg/s/cm^2/AA],noise[10^-16 erg/s/cm^2/AA]
3621.5959848601933,2.7995003718443665,0.12743516874500588
3622.4299841669877,3.30050711017102,0.11465517228578982
3623.2641755313257,2.496525303710767,0.11993674256733694
3624.0985589974434,2.551283520902507,0.11481638098326578
3624.933134609571,2.3856179218506446,0.1122876780476462
3625.7679024119648,2.295173967194569,0.11044045274536506
3626.6028624488754,2.56081028287299,0.10876996507792622
3627.4380147645793,1.8505131220823388,0.1073108393745771
3628.273359403348,2.5638740069698547,0.11032730449917992
3629.108896409478,3.309078113571741,0.10935651062685457
3629.9446258272606,2.2409614011994563,0.10635137642544967
3630.780547701014,1.3702631187974474,0.10407170612973189
3631.616662075049,1.9842076990054918,0.10502392471812622
3632.4529689937044,2.9688787056831645,0.10616894237020187
3633.2894685013125,2.582098104791658,0.10724437700867193
3634.1261606422304,2.821948872739449,0.10817642283871719
3634.9630454608114,3.190709933964536,0.10698414966432103
3635.8001230014343,2.300167962809756,0.11445006592353078
3636.6373933084724,2.643784309359673,0.11921536526305017
3637.4748564263245,2.5497848134910712,0.11718901654042675
3638.312512399384,3.160114413493523,0.115218981846974
3639.1503612720708,3.218621292706399,0.11257603412421463
3639.9884030888024,3.175502180162397,0.11559647164319309
3640.8266378940075,2.953518537373748,0.10469926590557993
3641.665065732136,2.479836829976231,0.10533504555971697
3642.503686647633,3.09010278352698,0.1068192615775701
3643.342500684969,3.6021607186362252,0.10743642905674318
3644.181507888609,3.36772246515897,0.10718627537435646
3645.0207083030436,3.391176405301719,0.10398709660126007
3645.8601019727603,3.2615846166620033,0.10171122096539156
3646.699688942269,3.7275698471930814,0.10037926165583418
3647.5394692560767,3.033171817181574,0.10239362736292658
3648.379442958715,2.5049700047122316,0.10193313369075409
3649.2196100947112,2.5568701064446944,0.10035788769579088
3650.059970708618,2.7604364793282006,0.10155066240285317
3650.900524844982,2.828058702533599,0.1012924907232573
3651.741272548377,2.957626702444395,0.10047373554990732
3652.5822138633707,3.1029172391747126,0.09793915044104289
3653.423348834556,3.095885450212518,0.0973018076823245
3654.264677506522,2.481155196046893,0.09634287722466978
3655.1061999238823,2.9689429884776475,0.0975499858591655
3655.9479161312506,2.572046498977579,0.10013943616500083
3656.789826173249,2.268611440295354,0.09994042676472524
3657.631930094523,2.4445460083428774,0.09852958441607415
3658.474227939712,3.416971774725244,0.10054322568709324
3659.3167197534817,3.4408901603892446,0.10149733895444854
3660.1594055804926,3.1142271080287176,0.09624801324963408
3661.0022854654303,2.9432924542692493,0.09593770074804385
3661.845359452976,2.1869266351102854,0.09505043373579497
3662.6886275878364,2.259048554630135,0.0965522082910497
3663.532089914713,3.0227054792107086,0.09462141897812423
3664.3757464783334,2.952756600407884,0.09577946409599683
3665.219597323419,2.376422884891508,0.10068281718817354
3666.0636424947174,2.700632763714417,0.09655416684501927
3666.9078820369723,2.9472199155474383,0.0982529050825595
3667.7523159949515,3.5252861228657353,0.10019632654728239
3668.5969444134184,2.734190587245506,0.09656476158777082
3669.4417673371618,2.3370931819896215,0.08631632284790892
3670.2867848109663,2.262175356945954,0.08534774562613269
3671.131996879641,3.274510417605052,0.08424752536713734
3671.977403587991,2.753355356259272,0.08446411317777297
3672.8230049808462,2.922420467436314,0.08654884206039606
3673.6688011030355,3.285953495465219,0.08571421121104637
3674.5147919993988,3.575048983865418,0.08326994532441585
3675.360977714797,2.8591388155007733,0.08058859070545117
3676.2073582940866,2.3552174702403135,0.07994993529333501
3677.053933782149,3.2868298610672357,0.08087026631098108
3677.9007042238622,2.705785055900924,0.07852441847037839
3678.7476696641274,2.2020681471269157,0.08204412726422351
3679.594830147843,2.6090567144625334,0.08235572012800066
3680.4421857199322,2.514301129993452,0.08105918341463936
3681.289736425313,3.3015360239703107,0.08250515711157479
3682.1374823089295,2.8201916484382106,0.08016330270011578
3682.9854234157206,2.6565144505933858,0.07594538889882836
3683.8335597906507,2.759197137365118,0.07662746713301394
3684.6818914786804,2.949366938768071,0.07580589470826775
3685.5304185247937,1.9370818095703726,0.07544290270144915
3686.379140973972,2.846067656646483,0.07670611488517785
3687.228058871221,3.2904782711363896,0.07920321707428638
3688.077172261542,2.5815633941476697,0.07699438559063429
3688.926481189961,3.289599195420164,0.07870096991272969
3689.775985701505,2.8324369891198105,0.0780174456863316
3690.6256858412085,3.3633875004278826,0.07712803617898084
3691.4755816541306,2.8313829510821966,0.07493924626118229
3692.325673185324,2.56451970837079,0.07382162096114359
3693.175960479867,3.1632821587845683,0.07434506007879697
3694.0264435828335,2.6877628460992127,0.0728816496766211
3694.877122539323,3.3071591273934913,0.07662274365684303
3695.72799739443,2.8148195362714232,0.07389884763124253
